split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
3,2,500000,100,taxi,7.73151547478029,551.3566986923836,282.49718474356234,13734.512260739
4,2,500000,100,taxi,7.733961318161437,552.6908208617053,284.0439572167038,37439.664634795
5,2,500000,100,taxi,7.7409323462127455,556.694473925391,284.685614186428,13649.027839805
6,2,500000,100,taxi,7.735935092002347,553.9181361925263,283.5481950897178,13894.717193613998
7,2,500000,100,taxi,7.731857596202324,551.6406116550777,283.26520077960384,13547.141629801
8,2,500000,100,taxi,7.73689264678511,554.395163207093,282.6275584111187,15475.450575235
9,2,500000,100,taxi,7.732665783549459,552.0284184307459,282.1892321261284,37678.932953068
0,3,500000,100,taxi,7.731890824093977,551.6930403166838,282.4100260053038,65679.717354351
1,3,500000,100,taxi,7.735708221792622,553.790949110668,283.35286633404814,68269.596210843
10,3,500000,100,taxi,7.73643993284373,553.7624946866922,281.50622761018013,26109.139669892
11,3,500000,100,taxi,7.732375275617068,552.0229791856535,282.80133362014374,26068.23204712
12,3,500000,100,taxi,7.7306937652029,551.1242359890431,283.66005389446053,26268.192816278
13,3,500000,100,taxi,7.738482406505895,554.5264839298538,281.86651943024424,26486.763051742
14,3,500000,100,taxi,7.735135651990519,553.4730684418362,283.97309909606093,26803.937902905
15,3,500000,100,taxi,7.734078491140838,552.1885935292834,281.2530362043737,26729.888351529
16,3,500000,100,taxi,7.730970799721805,551.0126463702948,283.4974434137877,26181.969113574003
17,3,500000,100,taxi,7.733488334027679,552.491531684908,284.8712968672552,26208.256221904
18,3,500000,100,taxi,7.736144190038247,553.8958001638105,283.2094496966345,26051.80162312
19,3,500000,100,taxi,7.730904668264634,551.0394723712594,283.26615136856395,26193.970140317
2,3,500000,100,taxi,7.738262880606483,555.0515287515415,282.13144373912473,68153.38112373199
3,3,500000,100,taxi,7.731207124335667,551.2256287147954,282.0538391357998,68785.833053494
4,3,500000,100,taxi,7.73351350241682,552.4557647095437,284.0156637429364,67912.63598749
5,3,500000,100,taxi,7.740737106829891,556.6001217845827,284.3362699959964,68823.523176039
6,3,500000,100,taxi,7.73536617567396,553.646874832901,283.6021255037001,68959.39177912001
7,3,500000,100,taxi,7.732141073099338,551.8270084794258,283.50598100980574,69066.384553135
8,3,500000,100,taxi,7.736878084287795,554.400190555723,282.27316992289485,67361.92476952799
9,3,500000,100,taxi,7.732582927937301,551.9622367446184,282.3430082827069,68871.92408833
0,4,500000,100,taxi,7.745089525084188,558.9880463626885,286.0632139113654,40951.913611273
1,4,500000,100,taxi,7.747843770944084,560.5349996404516,286.54302150577644,37794.730090282
10,4,500000,100,taxi,7.748662269378504,560.462425260863,285.451361146964,101501.322866366
11,4,500000,100,taxi,7.745533109975498,559.2488554929062,286.2694638840343,101468.930344398
12,4,500000,100,taxi,7.743333254137503,557.9896785114588,286.0142306340103,101676.258047318
13,4,500000,100,taxi,7.751727636388521,561.8034319414695,285.5744265311027,102390.565363146
14,4,500000,100,taxi,7.747178643291246,560.1690794764635,286.4340642032616,98618.555068497
15,4,500000,100,taxi,7.74662826273571,559.0527727070394,285.0147875429021,98626.886121122
16,4,500000,100,taxi,7.743341477385545,557.8749272295421,286.5733381613438,98246.035973807
17,4,500000,100,taxi,7.746901243760122,559.8761216698749,287.3034133157809,98308.534808139
18,4,500000,100,taxi,7.747597632532053,560.2489946998578,286.0347826541628,101053.245021417
19,4,500000,100,taxi,7.731339062558787,551.2636579638579,283.97141615341803,101774.633589085
2,4,500000,100,taxi,7.737661679039654,554.8017815884971,282.4407633614388,37680.306608509
