dataset_name,vip_layers,bb_alpha,bnn_structure,split,bnn_layer_str,time,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
energy,[1],0.5,"[200, 200]",11,BayesLinear,10932.096700298,-197.4685211181641,0.117601596,-0.7043144702911377,0.0658840462565422,17347.79296875,2.8901737,215.2154693603516,2.26081919670105
energy,[1],0.5,"[200, 200]",12,BayesLinear,7594.222929113,-203.0447998046875,0.09940137,-0.7768138647079468,0.0583238899707794,14256.5693359375,2.8061268,179.26144409179688,2.1821038722991943
energy,[1],0.5,"[200, 200]",13,BayesLinear,7926.300209756,-183.881591796875,0.14247128,-0.5293295979499817,0.080664999783039,17839.6796875,3.1725435,210.6004638671875,2.4842145442962646
energy,[1],0.5,"[200, 200]",14,BayesLinear,7957.507409387,-204.8941802978516,0.10203791,-0.7900301814079285,0.0587999075651168,17354.40625,2.9423947,216.07308959960935,2.1093900203704834
energy,[1],0.5,"[200, 200]",15,BayesLinear,7206.531790333001,-188.92535400390625,0.13009742,-0.6155299544334412,0.0733491778373718,14279.7333984375,2.7087352,176.23443603515625,2.161795854568481
energy,[1],0.5,"[200, 200]",16,BayesLinear,7290.420785599999,-171.5200653076172,0.15781611,-0.4177107810974121,0.0884006395936012,16077.1357421875,2.9630833,192.35353088378903,2.2515385150909424
energy,[1],0.5,"[200, 200]",17,BayesLinear,6003.003641022,-183.8422088623047,0.13877472,-0.5572545528411865,0.0784569606184959,17762.27734375,2.9807816,219.7187957763672,2.147428512573242
energy,[1],0.5,"[200, 200]",18,BayesLinear,7275.530835843,-194.0324859619141,0.12387489,-0.6602649092674255,0.069209486246109,33200.91015625,4.065161,404.9341125488281,2.857097625732422
energy,[1],0.5,"[200, 200]",19,BayesLinear,10126.42168506,-201.3997802734375,0.111687645,-0.7336280941963196,0.0631816983222961,19942.2578125,3.1630635,246.44879150390625,2.4616053104400635
energy,[1],0.5,"[200, 200]",2,BayesLinear,10367.659574494,-203.00308227539065,0.10571481,-0.7512772083282471,0.0612564720213413,24082.78515625,3.6088192,301.1780700683594,2.613482713699341
energy,[1],0.5,"[200, 200]",3,BayesLinear,10259.048611915,-199.08804321289065,0.11427495,-0.7149073481559753,0.0649457201361656,15899.4453125,2.855972,198.45220947265625,2.201336622238159
energy,[1],0.5,"[200, 200]",4,BayesLinear,10805.965300125,-197.7660217285156,0.115216665,-0.7110447287559509,0.0652775317430496,20238.484375,3.211264,249.8054656982422,2.3174664974212646
