vip_layers,split,time,LOSS,RMSE,NLL,CRPS
[4],4,19889.521920878,2069.343017578125,549.3688,7.727430820465088,282.9115905761719
[4],5,7951.829212924001,2156.032470703125,551.89996,7.732147216796875,283.7184753417969
[4],6,7515.471572889,2073.7841796875,549.53937,7.727785110473633,281.6261901855469
[4],7,7710.298416660999,1940.098876953125,550.6098,7.730063438415527,283.0967102050781
[4],8,7625.522985248,2108.400390625,550.45337,7.729533195495605,282.7423095703125
[4],9,7719.916352106,2030.408935546875,549.1418,7.726990699768066,282.2495422363281
[5],0,39414.305873477,2722.473388671875,546.1465,7.7196760177612305,281.082763671875
[5],1,25734.290153653,3049.260009765625,537.88654,7.703317642211914,276.8684387207031
[5],10,24636.016897844,2213.952392578125,551.12537,7.730765342712402,281.5970153808594
[5],11,24707.102085103,2785.639404296875,545.5643,7.719043254852295,281.7235107421875
[5],12,33298.904497187,2438.290283203125,547.8351,7.724079132080078,281.70916748046875
[5],13,33957.080180033,2495.516357421875,549.1598,7.726863384246826,281.5128173828125
[5],14,38822.416291977,3143.084228515625,534.2107,7.6935133934021,274.8982849121094
[5],15,114947.267474282,3482.65283203125,521.25104,7.668975353240967,272.6875305175781
[5],16,10178.480284256,3128.115234375,539.06226,7.702188491821289,276.6018981933594
[5],17,34850.241999048,3137.032958984375,536.6345,7.699910163879394,278.34765625
[5],18,35171.50636364,2642.54052734375,548.83905,7.725926876068115,280.7973937988281
[5],19,35188.851360482,3279.91015625,535.23065,7.695747375488281,274.3843994140625
[5],2,25646.194684193,2882.758544921875,543.1754,7.711940765380859,279.4969482421875
[5],3,9965.639475957,3294.4482421875,526.7788,7.672494888305664,271.4775085449219
[5],4,10100.521104772,3503.33056640625,511.29272,7.6490159034729,266.8165283203125
[5],5,24166.610082172,2866.57177734375,540.7285,7.707412719726562,279.7776184082031
[5],6,23825.571946102,2962.7939453125,538.49194,7.701574325561523,276.2748718261719
[5],7,23856.909790269,3220.010498046875,532.12787,7.691728115081787,275.1600036621094
[5],8,25723.05000093,2843.413330078125,544.63574,7.715062618255615,278.69989013671875
[5],9,24436.149126400003,2245.244384765625,548.8201,7.726602077484131,282.2628173828125
