split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
6,5,150000,100,boston,2.591062685136797,3.211451225562392,1.7315040002705155,53066.413456116
7,5,150000,100,boston,2.794287128802921,4.969648410426557,2.18641011958394,52493.053784986
8,5,150000,100,boston,2.4097531458493795,2.320661052131798,1.3868705036140254,52559.186574815
9,5,150000,100,boston,2.446976929976784,2.5714516882888745,1.4941693393143902,52724.035791391
0,1,150000,100,concrete,3.1201938727076035,5.37863216124434,3.055787523926352,1061.718075012
1,1,150000,100,concrete,3.1893782480315034,6.243626907258765,3.2915583638540222,1030.747633073
10,1,150000,100,concrete,3.2557034548035304,6.352087118870276,3.365511847139455,1000.961907098
11,1,150000,100,concrete,3.143315886796024,5.520824350774091,3.1181883242394424,997.829996974
12,1,150000,100,concrete,3.234068187095128,6.274530819585062,3.4484446240107083,995.786172813
13,1,150000,100,concrete,3.0765834570734074,5.170711960368263,2.884174651112904,1002.683317619
14,1,150000,100,concrete,3.1712206027015344,5.754636298677388,3.1902541094581096,1002.616951332
15,1,150000,100,concrete,3.0969639392216464,5.427239544368394,2.9688144543428514,1005.321074117
16,1,150000,100,concrete,3.2677040214254456,6.305777108932483,3.5374814106496384,976.254644062
17,1,150000,100,concrete,3.300332504164674,7.106666025420606,3.626528348296719,977.807945523
18,1,150000,100,concrete,3.2107173039458163,6.331998166476757,3.4655742147759203,977.063281198
19,1,150000,100,concrete,3.1187461004966446,5.378105367644949,2.975028427563748,979.348443657
2,1,150000,100,concrete,3.132392531165728,5.921160352931605,3.166887300948115,1030.815186351
3,1,150000,100,concrete,3.0619276199315126,5.320775314448877,2.806050264892815,1030.971485893
4,1,150000,100,concrete,3.075119362775979,5.024450431178741,2.801223954418045,1030.566115612
5,1,150000,100,concrete,3.2618133665325817,6.574264622229638,3.5744675117433613,1030.584849488
6,1,150000,100,concrete,3.153788946547029,5.720834510137506,3.207898712905085,1030.702358617
7,1,150000,100,concrete,3.1104079286195634,5.283035022293297,2.9912320708283127,1030.9246816910002
