num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,dropout,lr,warmup,fix_prior_noise,freeze_prior,freeze_posterior,seed,split,activation_str,LOSS,RMSE,NLL,CRPS
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,18,tanh,534.472412109375,6.729499,3.3480167388916016,4.988026142120361
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,19,tanh,623.566162109375,8.008263,3.5091769695281982,5.53341007232666
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,2,tanh,539.7119140625,6.496221,3.3188791275024414,5.06804084777832
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,3,tanh,433.3037414550781,5.063451,3.111982107162476,5.168156147003174
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,4,tanh,459.4032287597656,5.408631,3.1637213230133057,4.218120574951172
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,5,tanh,708.4227294921875,9.36537,3.682228088378906,6.129148960113525
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,6,tanh,447.4679260253906,5.057648,3.1359200477600098,4.688130855560303
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,7,tanh,386.0306091308594,4.091341,3.013584852218628,4.658557415008545
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,8,tanh,570.1812133789062,7.1431813,3.377969741821289,5.216343879699707
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,9,tanh,432.7822265625,4.996004,3.12695860862732,4.331292629241943
