split,layers,dataset,NLL,RMSE
1,1,boston,3.5661945308272984,5.51113368068195
9,3,boston,2.4738235858429984,2.8333010270668666
5,1,concrete,3.1946353911025795,6.240161246990552
18,5,concrete,3.1665342479160614,6.017974185620257
19,3,boston,2.356621949684016,2.627298634467825
17,4,boston,2.6826088617781183,3.7356291164790782
7,3,energy,0.6890964978783067,0.4643743441976701
15,2,concrete,3.029770705091821,5.123415229281379
3,4,energy,0.680183031640148,0.4436449584809222
12,3,energy,0.7051192108726659,0.4684714796139829
17,2,energy,0.6603702683846949,0.4552340109434481
15,1,concrete,3.023372638186582,5.05241657759923
19,1,concrete,3.1090829890847047,5.385277085265513
3,1,energy,1.1242980664758793,0.6875447354235986
16,4,boston,2.7029226098764987,4.324523255900754
7,2,concrete,3.080393725868269,5.16159554274563
5,5,energy,0.5800649991233281,0.3761654459691461
16,3,concrete,3.2357751526650915,6.136146751351437
19,4,concrete,3.049289140495712,5.041038197934307
5,2,concrete,3.192773305148607,6.250638097503101
4,4,boston,2.655456908563853,4.233001353413433
19,3,energy,0.7864933418473781,0.518882440354437
5,2,boston,2.526568826767306,2.9622127107158147
9,3,energy,0.6900153411879777,0.4464905953904244
10,5,energy,0.9060803441830804,0.5981991868327989
18,4,energy,0.8384022041802965,0.5279570525603626
10,2,concrete,3.2730777445468338,6.516604501395657
18,4,boston,2.4733493345144577,2.76499316821983
2,5,concrete,3.064933771594106,5.160607838371449
11,1,energy,1.1073820083359136,0.6799810888289808
2,4,energy,0.8478021433282327,0.5436837052717646
13,1,energy,1.098819472058869,0.6682621985027435
9,5,boston,2.4448608659124287,2.7126225698123063
12,5,boston,2.5125522203789745,3.0675749793215146
13,5,energy,0.6903479505524426,0.4659347409483419
1,4,concrete,3.122929394114504,5.777138127442205
4,1,energy,1.041845249377943,0.6348451761400975
10,4,energy,0.9521971599907588,0.6398981854732463
10,3,concrete,3.2541321396503355,6.389185529936428
12,2,concrete,3.195531186690151,5.941565693197225
16,5,concrete,3.1647897606324245,5.719235795856011
15,4,concrete,3.043562176142104,5.153615898306006
2,5,boston,2.899160611004457,4.249744336221074
19,2,boston,2.3504626432531004,2.637724849736367
9,2,concrete,3.227070061060488,6.312143850597665
17,3,energy,0.6552834099311519,0.4475856916359115
11,2,concrete,3.1869452946724226,5.858473658759033
17,2,concrete,3.2651146560937168,6.714419015165494
4,2,energy,0.6261470449995892,0.426044776178538
3,5,concrete,3.0235775702089884,5.00648800142386
9,4,concrete,3.191339640261214,6.125823345072014
1,2,boston,3.537857690654501,5.508359183121286
12,5,energy,0.7198701008737599,0.4817880450945274
6,1,concrete,3.1208804716277867,5.579831607433156
16,3,energy,0.6180009808780896,0.4103460723094225
2,1,boston,2.897868892021324,4.133144830151401
4,5,energy,0.659622498525719,0.4421329310334695
11,3,energy,0.7513611034105172,0.5096326963250538
7,1,boston,2.653765256169985,4.418740376275398
17,5,boston,2.665237177089669,3.68784503697094
16,2,energy,0.6127412319128716,0.4160132417517918
16,4,concrete,3.20738308369929,5.979375882415104
16,1,energy,1.1681222654694965,0.7025840637706866
15,2,energy,0.6028409524734031,0.4248114281934111
3,1,boston,2.6163107428903567,3.673583825414957
3,3,boston,2.6268387341522037,3.725432114288128
2,1,concrete,3.0889858034299977,5.643107922237141
13,1,boston,2.5044269210169405,3.140932695495553
16,3,boston,2.7070931276171426,4.333472827628254
18,3,energy,0.6816030255801238,0.4701680479042667
15,3,energy,0.6197616163372626,0.4176203864402215
12,4,concrete,3.1346920864718064,5.595843029551326
8,5,energy,0.6412859680123477,0.4335501043048287
15,5,energy,0.6495514767289493,0.4332244066266506
0,5,boston,2.697886355555795,3.802562381647839
12,2,boston,2.5019363237333545,3.003493654692269
8,3,concrete,3.069238976899457,5.098311754124431
16,4,energy,0.6305790078483974,0.4158564820980181
2,2,concrete,3.088222900541821,5.646604373392008
18,2,boston,2.456922575107419,2.6957843376956965
8,3,energy,0.6335899622135573,0.4352322020371669
6,2,energy,0.5288808028545685,0.3437345543771249
18,5,energy,0.7689078770988922,0.4604636741435597
17,5,energy,0.6554215667806496,0.4388322053105565
14,1,boston,2.6135874810924284,3.47094834200932
15,4,boston,2.496980244826459,2.8936889301662068
0,5,concrete,3.039100848471854,4.901636740430279
7,3,concrete,3.0871203751846594,5.2134054374561565
2,4,concrete,3.1006176493280586,5.685637501776394
1,1,concrete,3.118540242751469,5.774403062082136
8,4,energy,0.8468313914191243,0.5162370904910387
