num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,dropout,lr,warmup,fix_prior_noise,freeze_prior,freeze_posterior,seed,split,activation_str,LOSS,RMSE,NLL,CRPS
1,200,BNN,concrete,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,0,tanh,284.6863708496094,5.1310363,3.055187702178955,9.583178520202637
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,17,tanh,648.3316040039062,4.2935762,3.442028760910034,5.345876693725586
1,200,BNN,energy,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,-773.8811645507812,0.47412917,1.075079321861267,5.777472972869873
1,200,BNN,energy,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,-885.2501831054688,0.51075065,0.94691002368927,5.576622486114502
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,16,tanh,557.4392700195312,6.5324664,3.2976090908050537,9.373234748840332
1,200,BNN,boston,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,16,tanh,1076.2401123046875,4.7287965,4.123493671417236,4.013416290283203
1,200,BNN,boston,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,135.0159149169922,2.3701649,2.281036138534546,4.95470142364502
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,3,tanh,-828.0000610351562,0.52965724,0.9279019832611084,5.202819347381592
1,200,BNN,concrete,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,5,tanh,370.0343627929688,5.5510006,3.1396901607513428,10.074063301086426
1,200,BNN,boston,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,4117.23779296875,2.8905673,10.770186424255373,4.22256326675415
1,200,BNN,concrete,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,442.5549926757813,5.84684,3.193935871124268,9.461159706115724
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,4,tanh,442.8688049316406,5.853894,3.195609331130981,9.593137741088867
1,200,BNN,energy,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,4,tanh,-855.0183715820312,0.46742478,0.8663910627365112,6.526845932006836
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,7,tanh,-805.3637084960938,0.5439197,0.9516863226890564,5.930156230926514
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,-801.0861206054688,0.5611756,0.9576775431632996,5.577233791351318
1,200,BNN,energy,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,15,tanh,-896.6311645507812,0.4485401,0.8214533925056458,5.81523323059082
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,4,tanh,-783.9263916015625,0.57704216,0.9723418354988098,6.530258655548096
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,3,tanh,605.7320556640625,4.1314197,3.356407165527344,5.35653829574585
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,439.5356140136719,5.82898,3.1912662982940674,9.456860542297363
1,200,BNN,energy,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,12,tanh,-846.2969360351562,0.5870658,0.9927008152008056,6.031965732574463
1,200,BNN,boston,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,5,tanh,409.1570129394531,3.2809043,2.7233710289001465,4.854487895965576
1,200,BNN,boston,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,10,tanh,229.5838623046875,2.5370808,2.32651162147522,4.52787446975708
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,1,tanh,623.0405883789062,7.0053077,3.3685524463653564,9.1881103515625
1,200,BNN,boston,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,137.5758514404297,2.4631643,2.31039834022522,4.685587406158447
1,200,BNN,concrete,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,332.0655822753906,5.3996506,3.10947322845459,9.44843864440918
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,-828.6964111328125,0.52200073,0.9197479486465454,5.756613254547119
1,200,BNN,boston,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,16,tanh,931.1714477539062,4.8134365,3.892700910568237,4.014200687408447
1,200,BNN,energy,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,-910.1676025390624,0.50563574,0.9179461002349854,5.106081008911133
1,200,BNN,concrete,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,1,tanh,443.7385559082031,5.8996983,3.2293312549591064,9.19385051727295
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,133.82054138183594,2.6632729,2.401284694671631,4.25383996963501
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,2,tanh,972.3920288085938,5.026514,4.178386211395264,4.140523433685303
1,200,BNN,boston,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,8,tanh,180.9184112548828,2.615473,2.3806962966918945,4.216027736663818
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,462.7605895996094,3.7946503,3.073759078979492,4.046619892120361
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,10,tanh,476.1339721679688,6.066562,3.225893259048462,9.67068576812744
1,200,BNN,boston,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,2791.8701171875,2.4768527,8.0000638961792,4.962344169616699
1,200,BNN,concrete,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,17,tanh,574.1901245117188,6.3318663,3.3625099658966064,9.475018501281738
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,631.5681762695312,7.129527,3.385812997817993,9.450223922729492
1,200,BNN,boston,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,0,tanh,1095.900146484375,5.133557,4.1004958152771,4.7774152755737305
1,200,BNN,boston,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,1,tanh,1247.125244140625,5.543902,4.691555976867676,4.761454105377197
1,200,BNN,concrete,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,17,tanh,554.8101196289062,6.126866,3.2341151237487797,9.480369567871094
1,200,BNN,concrete,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,7,tanh,301.9823608398437,4.8511133,3.0673298835754395,8.5689058303833
1,200,BNN,concrete,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,5,tanh,364.457763671875,5.223379,3.0716307163238525,10.082820892333984
1,200,BNN,boston,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,1,tanh,24214.65625,6.154479,53.11515045166016,4.729487419128418
1,200,BNN,energy,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,3,tanh,-883.9461669921875,0.5331821,0.9527359008789062,5.203860282897949
1,200,BNN,boston,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,282.5713195800781,3.0643487,2.55478310585022,4.846683979034424
1,200,BNN,boston,40000,[4],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,5,tanh,400.3797912597656,3.4127588,2.803273677825928,4.8498382568359375
